16 28
 -196.850402832 -7.874000072 236.220504761
 -196.850402832 -7.874000072 -236.220504761
 236.220504761 -7.874000072 196.850402832
 -236.220504761 8.123999596 -196.850402832
 196.850402832 8.123999596 236.220504761
 236.220504761 8.123999596 -196.850402832
 196.850402832 -7.874000072 -236.220504761
 -196.850402832 8.123999596 236.220504761
 -236.220504761 8.123999596 196.850402832
 196.850402832 8.123999596 -236.220504761
 -236.220504761 -7.874000072 -196.850402832
 236.220504761 8.123999596 196.850402832
 196.850402832 -7.874000072 236.220504761
 236.220504761 -7.874000072 -196.850402832
 -196.850402832 8.123999596 -236.220504761
 -236.220504761 -7.874000072 196.850402832
    1    2    3
    4    5    6
    7    3    2
    8    1    5
    8    5    4
    9    1    8
    9    8    4
   10    6    7
   10    7    2
   10    4    6
   11    9    4
   11    2    1
   11    4    2
   12    6    5
   12    5    3
   12    3    6
   13    3    5
   13    5    1
   13    1    3
   14    6    3
   14    3    7
   14    7    6
   15    2    4
   15    4   10
   15   10    2
   16    1    9
   16    9   11
   16   11    1
